Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.29597460435593E-17,0.0600600740935481,2.22044604925031E-16,0,0,0,20.4614601836601,0.249216414234592,-1.6013655419642E-17,2.4740773598114E-17,0.6175648877969,-4.29674560252043E-17,0.435038252585552,0,0,0,0,0,0,package://robot/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot/meshes/base_link.STL,,body-1,BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LB_1,-0.0912954643793855,-4.30211422042248E-16,0.0113056803430923,0,0,0,0.324823001646924,0.000107013716905788,1.46984702766107E-19,-3.87197766270466E-05,0.00180263223873226,4.41635737594729E-20,0.00187778887256759,0,0,0,0,0,0,package://robot/meshes/LB_1.STL,1,1,1,1,0,0,0,0,0,0,package://robot/meshes/LB_1.STL,,leg_1-2,LB_1,AXIS_LB_1,LB_1,revolute,-0.05,0.08,-0.185,0,0,0,base_link,0,0,-1,0,0,0.2617,1.0466,,,,,,,,
LB_2,0.15,0,0.01,0,0,0,0.444823001646924,0.000145446900494077,-3.08055646145075E-19,5.30143760293281E-05,0.00486196443754987,-8.24555454475602E-20,0.00497068788779691,0,0,0,0,0,0,package://robot/meshes/LB_2.STL,1,1,1,1,0,0,0,0,0,0,package://robot/meshes/LB_2.STL,,leg_3-3,LB_2,AXIS_LB_2,LB_2,revolute,-0.2,0,-0.025,0,0,-0.58569,LB_1,0,0,-1,0,0,0,0,,,,,,,,
LF_1,0.0749790246153097,5.96744875736022E-16,0.0168807682307895,0,0,0,0.395508836352695,0.000183089900579248,1.34582027423028E-19,0.000204048265203773,0.0023625702698755,-1.3974866137207E-20,0.00239345934565496,0,0,0,0,0,0,package://robot/meshes/LF_1.STL,1,1,1,1,0,0,0,0,0,0,package://robot/meshes/LF_1.STL,,leg_2-2,LF_1,AXIS_LF_1,LF_1,revolute,0.05,0.08,-0.21,0,0,0,base_link,0,0,-1,0,0,-0.2617,-1.0466,,,,,,,,
LF_2,-0.15,-1.38777878078145E-17,0.01,0,0,0,0.444823001646924,0.000145446900494078,-1.30943819243349E-20,-5.30143760293279E-05,0.00486196443754988,-9.34435693775815E-20,0.00497068788779692,0,0,0,0,0,0,package://robot/meshes/LF_2.STL,1,1,1,1,0,0,0,0,0,0,package://robot/meshes/LF_2.STL,,leg_3-4,LF_2,AXIS_LF_2,LF_2,revolute,0.2,0,-0.025,0,0,0.58569,LF_1,0,0,-1,0,0,0,0,,,,,,,,
L,-8.67361737988404E-19,0,0.0150000000000001,0,0,0,0.763407014822321,0.00160315473112687,-1.43995601033231E-20,-7.10198537447999E-25,0.00160315473112687,2.95431016671097E-24,0.0030917984100304,0,0,0,0,0,0,package://robot/meshes/L.STL,1,1,1,1,0,0,0,0,0,0,package://robot/meshes/L.STL,,wheel-1,L,AXIS_L,L,revolute,-0.3,0,-0.0350000000000001,0,0,-0.58568554345715,LF_2,0,0,1,0,0,0,0,,,,,,,,
RF_1,0.0749790246153108,-5.55111512312578E-17,-0.0168807682307895,0,0,0,0.395508836352695,0.000183089900579248,1.76861673227501E-19,-0.000204048265203774,0.0023625702698755,6.28467776911069E-21,0.00239345934565496,0,0,0,0,0,0,package://robot/meshes/RF_1.STL,1,1,1,1,0,0,0,0,0,0,package://robot/meshes/RF_1.STL,,leg_2-1,RF_1,AXIS_RF_1,RF_1,revolute,0.05,0.08,0.21,0,0,0,base_link,0,0,1,0,0,-0.2617,-1.0466,,,,,,,,
RF_2,-0.15,2.08166817117217E-17,-0.01,0,0,0,0.444823001646925,0.000145446900494078,2.98155597433514E-19,5.30143760293279E-05,0.00486196443754988,-1.01643953670516E-20,0.00497068788779692,0,0,0,0,0,0,package://robot/meshes/RF_2.STL,1,1,1,1,0,0,0,0,0,0,package://robot/meshes/RF_2.STL,,leg_3-2,RF_2,AXIS_RF_2,RF_2,revolute,0.2,0,0.025,0,0,0.58568554345715,RF_1,0,0,-1,0,0,0,0,,,,,,,,
R,-8.67361737988404E-19,0,-0.0149999999999999,0,0,0,0.763407014822321,0.00160315473112687,-1.86347248395946E-19,-1.93699604447607E-24,0.00160315473112687,2.42191734012324E-24,0.0030917984100304,0,0,0,0,0,0,package://robot/meshes/R.STL,1,1,1,1,0,0,0,0,0,0,package://robot/meshes/R.STL,,wheel-2,R,AXIS_R,R,revolute,-0.3,0,0.035,0,0,-0.58568554345715,RF_2,0,0,1,0,0,0,0,,,,,,,,
RB_1,-0.0912954643793854,-3.88578058618805E-16,-0.0113056803430923,0,0,0,0.324823001646925,0.000107013716905788,7.29891813641705E-21,3.87197766270465E-05,0.00180263223873226,1.57649040573712E-22,0.00187778887256759,0,0,0,0,0,0,package://robot/meshes/RB_1.STL,1,1,1,1,0,0,0,0,0,0,package://robot/meshes/RB_1.STL,,leg_1-1,RB_1,AXIS_RB_1,RB_1,revolute,-0.05,0.08,0.185,0,0,0,base_link,0,0,1,0,0,0.2617,1.0466,,,,,,,,
RB_2,0.15,0,-0.01,0,0,0,0.444823001646925,0.000145446900494077,3.9979955110403E-19,-5.30143760293278E-05,0.00486196443754988,1.01643953670516E-20,0.00497068788779692,0,0,0,0,0,0,package://robot/meshes/RB_2.STL,1,1,1,1,0,0,0,0,0,0,package://robot/meshes/RB_2.STL,,leg_3-1,RB_2,AXIS_RB_2,RB_2,revolute,-0.2,0,0.025,0,0,-0.585685543457153,RB_1,0,0,-1,0,0,0,0,,,,,,,,
